date;tweet;nlikes;nretweets;hashtags
2022-04-23 22:05:27;Macron a clochardisé les enseignants français. Avec sa politique budgétaire indigne, les salaires enseignants sont minables. Mais à cette indignité économique répond un rabaissement moral concomitant. Dans un pays dominé par l’argent, ne pas payer c’est dévaloriser. Honte à lui;593;243;[]
2022-04-23 22:04:51;"Quand, après avoir critiqué pendant toute une campagne la #Macronie l'extrême-gauche appelle au vote Macron, on se fout de leur gueule. ""Pff, des guignols...""  Et si les gauchiasses étaient juste pragmatiques ? Ils votent pour le + proche d'eux. Dommage que la droite s'y refuse";148;17;['macronie']
2022-04-23 22:03:07;J’ai voté PS depuis Mitterrand, en 81, mon premier vote, ma majorité citoyenne, à quasiment toutes les élections. J’ai choisi Macron il y a 5 ans face à l’écroulement de cette partie de la gauche. Et je continuerai. Parce que ça, jamais;482;85;[]
2022-04-23 22:00:28;@SalvatoreRen Vous passerez pour un illuminé de dire cela , mais au final ces choses arriverons car tout les signes sont là .. comme Mme Lagarde qui préviens que la démocratie a ces limites .. ceux qui voterons macron et les abstentionnistes de demain sont les complices de ce nouveau monde;164;50;[]
2022-04-23 21:57:44;"Les gens de gauche qui vont voter MLP dimanche, n'oubliez pas d'écrire ""contre Macron"" sur votre bulletin en signe de protestation !!!";447;57;[]
2022-04-23 21:54:17;@TKLStarcraft @LuttiLutti_ Ça veut dire quoi voter contre le fascisme ? Parce que Macron l'est au moins autant qu'elle ...  Je pense qu'il l'est même beaucoup plus ....;161;2;[]
2022-04-23 21:52:02;Ne vous inquiétez pas, votez sans hésiter Marine Le Pen. Le fascisme, l'eugénisme c'est Macron qui veut faire de l'eugénisme génétique avec ses collabo de médecins, biologistes et autres vendeurs de PEUR.ILS DIRIGENT PAR LA PEUR! c'est clair la preuve ici👇 https://t.co/kMM33JrcMq;442;253;[]
2022-04-23 21:49:38;Souvenez-vous, tous ces cons critiquaient Macron pour le confinement des Français(donc, le manque à gagner), la fermeture des cinémas, des salles de spectacles, les stades... et aujourd'hui, ils appellent à voter pour lui ? Quelle bande de mange-merdes 💩!!! Honte à eux ! 👎🤮🖕  https://t.co/kUovGRO98B;381;244;[]
2022-04-23 21:48:39;Demain je ne voterais pas macron! Je ne donne aucune consigne pour ne pas me faire insulter et injurier! Fini la galère des 5 ans pour moi!  #TousContreMacon;182;13;['touscontremacon']
2022-04-23 21:48:15;Avant #Macron , ça n’était pas si grave de s’abstenir ! Depuis Macron, c’est une question de vie ou de mort !  https://t.co/jQwY3WQQD8;163;153;['macron']
2022-04-23 21:43:42;Demain, pour la 1ere fois de ma vie, je vais voter Marine Lepen! Mais l’heure est bien trop grave et je ne sais pas du tout ce qu’il en adviendra si elle l’emporte, mais je sais que l’avenir pour mes enfants, avec Macron sera le chaos! Ce type est un psychopathe! #ToutsaufMacron;621;201;['toutsaufmacron']
2022-04-23 21:42:54;Réunion de famille houleuse en mode élection.. L'impression d'être un vieux con pcq je vote Macron face à des mélenchonistes qui préféreraient presque s'abstenir et me balancent des horreurs sur Macron ! Pour eux c'est sa faute s'il y a Le Pen en face Cauchemar !;810;70;[]
2022-04-23 21:41:17;@kor17975783 @King_Kap0 @LaureBuliiV @bertrand_amar @AbacaPhoto @TeamVitality @EmmanuelMacron @avecvous vita est la seul struture a negocier avec des députés français pour faire avancer l'esport en France en plus d'avoirs leurs locaux aux stade de france et 80% de leurs joueurs/staff fr mais oklm il tweet en anglais il renie leurs origine 👍👍👍;262;19;[]
2022-04-23 21:39:45;Et voilà merci macron tu as fracturé la France, comme jamais, nous melenchonistes voterons pour Marine le Pen pour les soignants suspendus, les gilets jaunes, les pauvres que tu as créé, les enfants que nous devons protéger de toi, etc...  https://t.co/OJiiryF8TF;511;245;[]
2022-04-23 21:38:43;Voter pour E. Macron c'est un droit. Ne pas voter pour lui, c'est un devoir.;348;77;[]
2022-04-23 21:37:03;@BFMTV Vous n’avez pas honte de faire la propagande de Zelinsky, fervent soutien de Macron, la veille des élections ?;298;57;[]
